created_at,text,retweet_count,favourite_count
2021-08-26 10:11:43,Chinese e-commerce giant https://t.co/IYA4U1l3Fn is in advanced talks to buy a controlling stake in China Logistics… https://t.co/yYyS9HVVou,10,12
2021-08-26 18:56:40,@stillvoll_sexy @ConnJoltrane @ruima @finimize 1/Some stocks in her portfolio are “disruptive innovation” - those a… https://t.co/JF4LgxrDFM,0,0
2021-08-26 18:42:07,How https://t.co/6poLrT4SwO Scores Against Alibaba In Terms Of Logistics? $JD $BABA https://t.co/uz7Y8VVOxK,0,0
2021-08-26 18:16:01,Chinese tech stocks on the Hong Kong exchange made a comeback today after a strong set of quarterly earnings from… https://t.co/jjcxSfO3FC,1,0
2021-08-26 16:43:41,"$JD - Cathie Wood makes about-face move on China, buying https://t.co/tRQUgCEm2Y and Tencent shares https://t.co/dCOr6xooxn",1,1
2021-08-26 16:35:32,https://t.co/uLCa615jar in advanced talks to buy controlling stake in China Logistics: Report… https://t.co/bXkvhPAbGo,0,0
2021-08-26 16:30:05,"https://t.co/O1w6QLJzEY in advanced talks to buy controlling stake in China Logistics - Bloomberg News
Reuters
https://t.co/bz7uXshhw9",0,0
2021-08-26 16:25:03,"https://t.co/O1w6QLJzEY said to be in advanced talks to buy controlling stake in China Logistics
DealStreetAsia
https://t.co/pJHtKpm4nV",0,0
2021-08-26 15:11:17,Great discussion on StockTalk about which Chinese tech giant is a better investment. Members discussed the pros and… https://t.co/Lgiw3oeuuT,1,2
2021-08-26 14:17:43,$BABA $JD NEW ARTICLE : How https://t.co/1I0lfmgx4j Scores Against Alibaba In Terms Of Logistics?… https://t.co/qhoaxKYkQP,0,0
2021-08-26 14:04:34,How https://t.co/fwqxkAQItS Scores Against Alibaba In Terms Of Logistics? | $BABA $JD $JDLGF $JDLGY,0,0
2021-08-26 13:52:35,Chinese e-commerce giant https://t.co/RXBB97XmUh is in advanced talks to buy a controlling stake in China Logistics… https://t.co/a2ZToBS0O3,1,1
2021-08-26 13:41:17,"Redmi K40 Gaming Edition Teased in New Inverse Scale Colour Option, Spotted on https://t.co/O8rs2StiDq - Gadget Inf… https://t.co/e7CPY2XzGR",0,0
2021-08-26 13:33:53,https://t.co/tRQUgCEm2Y Nearing Deal for Controlling Stake in China Logistics https://t.co/NO09FpiIeJ via @Yahoo,1,1
2021-08-26 13:28:23,#JD Nearing Deal for Controlling Stake in #China #Logistics - will they crackdown on them ? ⁦@tnatw⁩ ⁦@KalPatel⁩ ⁦… https://t.co/A6tOaZlskb,1,0
2021-08-26 10:08:41,https://t.co/6poLrT4SwO in advanced talks to buy controlling stake in China Logistics - Bloomberg News $JD https://t.co/H1eiGkyFj0,0,0
2021-08-26 09:49:25,Chinese e-commerce giant https://t.co/82M1is8REz is in advanced talks to buy a controlling stake in China Logistics… https://t.co/SsSL4PfAvK,2,5
2021-08-26 09:46:53,"https://t.co/aJmy1PDzX2 in talks to buy controlling stake in China Logistics, Bloomberg says
$JD",0,0
2021-08-26 09:46:47,"https://t.co/r3S2rIjhFn in talks to buy controlling stake in China Logistics, Bloomberg says
$JD",0,0
2021-08-26 09:45:03,"https://t.co/O1w6QLJzEY Nearing Deal for Controlling Stake in China Logistics
Yahoo Finance
https://t.co/Lsh3RxyrEt",0,0
2021-08-26 09:40:07,https://t.co/dFKsQbj1EN Nearing Deal for Controlling Stake in China Logistics https://t.co/EZ81whJGt5,3,0
2021-08-26 09:40:04,https://t.co/NPKVLQMrpp Nearing Deal for Controlling Stake in China Logistics https://t.co/4hyzDOdFZR,0,0
2021-08-26 09:40:04,https://t.co/zJZ9WsalSP Nearing Deal for Controlling Stake in China Logistics https://t.co/uOLseIJFQB,0,0
2021-08-26 09:40:04,https://t.co/AXEg786mql Nearing Deal for Controlling Stake in China Logistics https://t.co/Ad7nLfhzfj,0,0
2021-08-26 09:37:08,https://t.co/yxGVswrQLr Said to Near Deal for #China Logistics Stake $JD  https://t.co/joDBAgCzh6,0,0
2021-08-26 09:35:31,https://t.co/6poLrT4SwO Said to Near Deal for China Logistics Stake $GS $BAC $JD https://t.co/PqFNit7Vqg,0,0
